transaction_id,product_id,store_id,quantity,unit_price,transaction_date,customer_id
TXN001,PROD001,STORE001,2,29.99,2023-12-01,CUST001
TXN002,PROD002,STORE001,1,149.99,2023-12-01,CUST002
TXN003,PROD003,STORE002,3,19.99,2023-12-01,CUST003
TXN004,PROD001,STORE003,1,29.99,2023-12-01,CUST004
TXN005,PROD004,STORE001,2,79.99,2023-12-01,CUST005
TXN006,PROD005,STORE002,1,199.99,2023-12-01,CUST006
TXN007,PROD002,STORE003,1,149.99,2023-12-01,CUST007
TXN008,PROD006,STORE001,4,9.99,2023-12-01,CUST008
TXN009,PROD007,STORE002,1,299.99,2023-12-01,CUST009
TXN010,PROD003,STORE003,2,19.99,2023-12-01,CUST010
TXN011,PROD008,STORE001,1,49.99,2023-12-02,CUST011
TXN012,PROD001,STORE002,3,29.99,2023-12-02,CUST012
TXN013,PROD009,STORE003,1,89.99,2023-12-02,CUST013
TXN014,PROD004,STORE001,1,79.99,2023-12-02,CUST014
TXN015,PROD010,STORE002,2,39.99,2023-12-02,CUST015
TXN016,PROD005,STORE003,1,199.99,2023-12-02,CUST016
TXN017,PROD002,STORE001,1,149.99,2023-12-02,CUST017
TXN018,PROD006,STORE002,5,9.99,2023-12-02,CUST018
TXN019,PROD007,STORE003,1,299.99,2023-12-02,CUST019
TXN020,PROD011,STORE001,2,24.99,2023-12-02,CUST020
TXN021,PROD012,STORE002,1,119.99,2023-12-03,CUST021
TXN022,PROD003,STORE003,4,19.99,2023-12-03,CUST022
TXN023,PROD008,STORE001,1,49.99,2023-12-03,CUST023
TXN024,PROD013,STORE002,2,34.99,2023-12-03,CUST024
TXN025,PROD001,STORE003,1,29.99,2023-12-03,CUST025
TXN026,PROD014,STORE001,1,159.99,2023-12-03,CUST026
TXN027,PROD009,STORE002,1,89.99,2023-12-03,CUST027
TXN028,PROD004,STORE003,2,79.99,2023-12-03,CUST028
TXN029,PROD015,STORE001,3,14.99,2023-12-03,CUST029
TXN030,PROD010,STORE002,1,39.99,2023-12-03,CUST030
TXN031,PROD005,STORE001,1,199.99,2023-12-04,CUST031
TXN032,PROD006,STORE002,6,9.99,2023-12-04,CUST032
TXN033,PROD016,STORE003,2,69.99,2023-12-04,CUST033
TXN034,PROD002,STORE001,1,149.99,2023-12-04,CUST034
TXN035,PROD017,STORE002,1,249.99,2023-12-04,CUST035
TXN036,PROD012,STORE003,1,119.99,2023-12-04,CUST036
TXN037,PROD007,STORE001,1,299.99,2023-12-04,CUST037
TXN038,PROD018,STORE002,2,44.99,2023-12-04,CUST038
TXN039,PROD003,STORE003,3,19.99,2023-12-04,CUST039
TXN040,PROD019,STORE001,1,179.99,2023-12-04,CUST040
TXN041,PROD020,STORE002,2,54.99,2023-12-05,CUST041
TXN042,PROD008,STORE003,1,49.99,2023-12-05,CUST042
TXN043,PROD014,STORE001,1,159.99,2023-12-05,CUST043
TXN044,PROD001,STORE002,2,29.99,2023-12-05,CUST044
TXN045,PROD021,STORE003,1,94.99,2023-12-05,CUST045
TXN046,PROD015,STORE001,4,14.99,2023-12-05,CUST046
TXN047,PROD009,STORE002,1,89.99,2023-12-05,CUST047
TXN048,PROD022,STORE003,2,64.99,2023-12-05,CUST048
TXN049,PROD016,STORE001,1,69.99,2023-12-05,CUST049
TXN050,PROD004,STORE002,1,79.99,2023-12-05,CUST050 
